crossover_type,crossover_rate,mutation_type,mutation_rate,mutation_std_dev,selection_type,selection_size,distance,case_study,CA_size,population_size,input_locations,input_order,input_percentage,steps,sort_rules,chromosome_evol,input_loc_evol,output_loc_evol,growth_rate_mean_fitness_training,growth_rate_mean_fitness_control,growth_rate_best_fitness_training,growth_rate_best_fitness_control
single_point,0.3910411890170613,bit_flip,0.9800778469057795,,roulette,,manhattan,number_divided_by_two,10,19,evenly_distributed,random,0.5247091878181206,16,different_behaviour,no,no,no,0.00232016806722689,0.0019747407159585143,0.0,0.0
single_point,0.4216788460957126,bit_flip,0.09730630456344724,,tournament,4,manhattan,number_plus_one,25,10,evenly_distributed,ordered,0.07440216492440122,14,low_average_low_std,no,no,yes,0.002148124901930018,0.0004709748083242061,-0.0007311827956989244,-0.0007597173144876326
single_point,0.7789589543121113,bit_flip,0.20765278142751697,,tournament,9,hamming,number_divided_by_two,25,8,random,random,0.71823156432883,10,big_average_big_std,yes,no,yes,0.0008966630478232234,0.0002530971725043746,0.0006941518343536978,6.579394349236701e-05
uniform,0.8184329034031724,gaussian,,6.203685547833589,roulette,,euclidean,number_plus_one,25,16,random,random,0.31291125722052193,10,big_average_low_std,no,no,no,0.0003404292642320501,0.0003060004358665188,-3.4637341101072315e-05,-0.0006991707871955346
uniform,0.9640043910305142,bit_flip,0.4546666071644131,,tournament,9,hamming,number_divided_by_two,20,12,random,random,0.722451484476113,14,equal_behaviour,yes,no,no,0.0010182794494714498,0.00048176699352563384,0.0008433386717806949,0.00031307758792199314
uniform,0.4074018006239042,gaussian,,9.599266856273827,roulette,,manhattan,number_plus_one,20,17,random,ordered,0.31569867833298304,23,random,no,no,no,0.0008390015808505098,0.00037964134507761834,0.0,-0.00044811320754717024
single_point,0.6000423879255087,bit_flip,0.3263919821071498,,tournament,2,hamming,number_divided_by_two,15,11,random,ordered,0.5866574499867478,23,random,yes,no,no,0.0009430534228050176,0.0010171590916390383,0.0009093733494889247,0.0008189508257676701
single_point,0.10042199800367924,bit_flip,0.2521741222002506,,roulette,,manhattan,number_plus_one,25,16,evenly_distributed,ordered,0.38445828213526856,16,low_average_low_std,no,no,no,0.00027973947545729066,0.000351597626041604,0.0,-0.0001460436870252267
uniform,0.8523033721636825,bit_flip,0.5088261087827541,,tournament,8,euclidean,number_divided_by_two,20,19,random,random,0.8023130107037569,29,different_behaviour,no,no,no,0.0001992255482135917,0.0001088340109180291,0.0,-2.3350054370462554e-06
none,0.9675639737147652,bit_flip,0.674710119500095,,roulette,,hamming,number_plus_one,15,8,random,random,0.09619087847760821,21,different_behaviour,yes,no,no,0.0002911891790343794,0.000441033611812707,-0.0008937605396290046,-0.0006401384083044979
single_point,0.1324939031323057,bit_flip,0.24317838694392924,,roulette,,manhattan,number_plus_one,25,8,random,random,0.10202276184779191,22,equal_behaviour,no,no,no,0.00023023023023022995,-0.0001715939632003307,-0.0011721611721611717,-0.0007329842931937165
single_point,0.9303601217312768,bit_flip,0.018843695572595687,,roulette,,hamming,number_divided_by_two,15,9,random,ordered,0.25571694678884027,29,big_average_low_std,yes,no,yes,0.0011981976520983612,0.00029161381166330295,0.0005392808304924791,-0.0006041931001147967
uniform,0.6870117844094189,gaussian,,8.333455803263153,tournament,9,hamming,number_plus_one,10,15,random,random,0.5160864257990221,23,low_average_low_std,no,no,no,0.000838286534125843,0.0002551850345668972,0.0,-0.0008673469387755098
none,0.3144302373711396,bit_flip,0.052807764156627246,,tournament,3,euclidean,number_divided_by_two,15,13,evenly_distributed,ordered,0.881473641863998,21,big_average_low_std,yes,yes,no,0.00013670953223155556,0.00019940082865733732,-7.485458768393598e-05,-4.845107818589758e-05
none,0.9897753583459608,bit_flip,0.5082939173438302,,tournament,4,euclidean,number_divided_by_two,20,8,evenly_distributed,random,0.6551328338641416,17,big_average_big_std,yes,yes,no,-0.00023230426894592387,2.498845552644982e-05,-0.0005333479924445815,-0.00045814219405369003
uniform,0.016825583086284013,bit_flip,0.16165533319844683,,tournament,4,hamming,number_divided_by_two,25,18,random,random,0.8550727710937167,29,big_average_big_std,no,no,no,4.935865590229932e-05,3.0683112112360015e-05,0.0,-3.580381074667315e-05
uniform,0.794524713679147,gaussian,,1.8240114206273352,roulette,,euclidean,number_divided_by_two,15,19,random,ordered,0.2888497464563776,10,big_average_low_std,no,no,no,-0.0004792634476829027,-0.0004206453325311111,-0.002630086220462846,-0.0019760236881519976
